"","cam","sex","Folder","carcass","study_area","season","elevation","building_density","building_distance","road_density","road_distance","trail_distance","forest_density","total.time","nobs"
"1","MVC202F-2713","F","Moultrie","MD_Yearling","Okanogan","Winter",739.86,18,242.310507138708,8.95454779925304,201.068283928474,4889.50623153205,0.0137741044163704,2.31277777777778,2
"2","MVC202F-2713","F","Reconyx","MD_Yearling","Okanogan","Winter",739.86,18,242.310507138708,8.95454779925304,201.068283928474,4889.50623153205,0.0137741044163704,2.28083333333333,2
"3","MVC202F-3539","F","Reconyx","MD_Adult","Okanogan","Summer",694.42,26,648.565985702525,4.39537210969402,310.258353586913,176.852618463544,0.0348943993449211,0.005,1
"4","MVC205F-1709","F","Moultrie","MD_Yearling","Okanogan","Fall",1210.52,0,2911.42241714515,5.61926077226715,238.947808693194,2607.13735296014,0.927456378936768,324.120833333333,53
"5","MVC205F-2139","F","Reconyx","MD_Yearling","Okanogan","Winter",1057.13,0,2408.51288672319,7.66032511657186,34.3213389220482,2368.42638997837,0.183654725551605,348.359722222222,2
"6","MVC205F-2305","F","Moultrie","MD_Yearling","Okanogan","Winter",1285.21,0,2623.68321131949,11.9728428235468,87.3325762502659,4176.99712761407,0.171717166900635,29.6686111111111,13
"7","MVC205F-2305","F","Reconyx","MD_Yearling","Okanogan","Winter",1285.21,0,2623.68321131949,11.9728428235468,87.3325762502659,4176.99712761407,0.171717166900635,29.6736111111111,13
"8","MVC205F-729","F","Moultrie","MD_AgeUnk","Okanogan","Spring",1299.13,0,1991.27769849577,6.2311597046348,19.6674996868887,10307.4978404613,0.624426066875458,31.2775,13
"9","MVC207F-646","F","Moultrie","MD_Fawn","Okanogan","Fall",1453.46,1,356.378775058313,4.60980084746003,384.122902095974,352.272865464636,0.909090936183929,23.4791666666667,7
"10","MVC223F-106","F","Moultrie","MD_Yearling","Okanogan","Winter",1007.49,0,3341.55661100679,5.20080735851487,532.405505048458,3453.77311419794,0.168044075369835,17.2316666666667,7
"11","MVC223F-106","F","Reconyx","MD_Yearling","Okanogan","Winter",1007.49,0,3341.55661100679,5.20080735851487,532.405505048458,3453.77311419794,0.168044075369835,22.4930555555556,6
"12","MVC227F-3529","F","Reconyx","MD_Adult","Okanogan","Winter",1303.65,0,2787.99221326714,4.58739564695089,103.659098120571,3835.39933664436,0.482093662023544,439.463611111111,12
"13","MVC227F-4361","F","Moultrie","MD_Yearling","Okanogan","Summer",1600.87,0,4126.76950664899,0,1296.89293259385,3778.46532333233,0.00918273627758026,24.2219444444444,2
"14","MVC227F-4361","F","Reconyx","MD_Yearling","Okanogan","Summer",1600.87,0,4126.76950664899,0,1296.89293259385,3778.46532333233,0.00918273627758026,0.0319444444444444,1
"15","MVC228F-2274","F","Reconyx","Other","Okanogan","Winter",951.21,0,1541.57522000073,4.12639246418891,208.024441198385,4186.13203586599,0.0468319542706013,0,1
"16","MVC230F-060-09-10C","F","Reconyx","MD_Yearling","Okanogan","Winter",611.12,17,144.62687850879,2.24399134540225,144.436314114855,4004.33709528949,0,170.468611111111,8
"17","MVC230F-2423","F","Moultrie","MD_Fawn","Okanogan","Summer",1534.1,0,5994.75364326931,3.89418367946711,36.9082706148559,512.30784364628,0.853076219558716,53.8186111111111,3
"18","MVC230F-2423","F","Reconyx","MD_Fawn","Okanogan","Summer",1534.1,0,5994.75364326931,3.89418367946711,36.9082706148559,512.30784364628,0.853076219558716,53.8266666666667,3
"19","MVC233F-356-04-20C","F","Reconyx","MD_Adult","Okanogan","Winter",585.37,33,176.392682425954,4.52204710061354,20.3246677685712,4997.53752758727,0.422405868768692,290.851666666667,38
"20","MVC234M-022-14-40C","M","Reconyx","WTD_Adult","Okanogan","Winter",524.76,138,169.773491301304,11.8319287227603,231.134281808692,2550.37492366827,0.0339761264622212,0.131666666666667,1
"21","MVC235M-041-05-30C","M","Reconyx","MD_Adult","Okanogan","Winter",971.35,0,1300.1235245107,6.63296282406689,245.662031532876,5929.00226876874,0.471992641687393,39.7525,2
"22","MVC235M-055-15-20C","M","Reconyx","MD_AgeUnk","Okanogan","Winter",934.75,0,1280.83823884688,10.4615600070714,90.4835621955322,4947.01233673702,0.320477515459061,0.0688888888888889,1
"23","MVC236F-034-03-20C","F","Reconyx","MD_Yearling","Okanogan","Winter",1009.65,0,1297.86791981286,10.0808948594003,47.5565620599112,4677.18945840133,0.311294764280319,125.302222222222,6
"24","MVC236F-041-09-20C","F","Reconyx","MD_Yearling","Okanogan","Winter",1070.45,0,1990.81262494912,8.42128887726121,323.549594249904,5716.1920347983,0.769513309001923,54.7886111111111,15
"25","MVC236F-071-22-10C","F","Reconyx","MD_Yearling","Okanogan","Winter",1097.43,0,2637.89395971158,3.7407924300526,489.774658598711,511.49202438892,0.493112951517105,58.8866666666667,14
"26","MVC237M-060-16-10C","M","Reconyx","MD_AgeUnk","Okanogan","Winter",480.87,26,209.013079347422,2.08057250349791,86.9313095686169,8628.63131978037,0,242.004722222222,42
"27","MVC206F-1504","F","Moultrie","WTD_Adult","Okanogan","Summer",935.11,0,3695.74433306986,8.91509661453036,48.2782665057676,18096.5672796104,0.28374657034874,0.0441666666666667,1
"28","MVC206F-1504","F","Reconyx","WTD_Adult","Okanogan","Summer",935.11,0,3695.74433306986,8.91509661453036,48.2782665057676,18096.5672796104,0.28374657034874,0.0525,1
"29","NEC107F-669","F","Moultrie","MD_Adult","Northeast","Summer",1128.66,0,1887.141855819,6.24799982183826,412.516086478557,6688.31045064767,0.949494957923889,0,1
"30","NEC110F-1469","F","Reconyx","WTD_Adult","Northeast","Summer",884.54,1,920.509580579744,13.3338494750202,114.089646715205,29840.0190449344,0.746556460857391,24.585,5
"31","NEC113F-1248","F","Reconyx","WTD_Adult","Northeast","Summer",1113.82,0,2427.69750475505,10.9860611570431,211.193118855936,331.879375343736,0.970615267753601,75.1322222222222,16
"32","NEC113F-3329","F","Moultrie","WTD_Fawn","Northeast","Summer",1103.16,0,2084.77196556523,9.59935319718599,65.5182794851128,152.411117066886,0.567493140697479,0.820555555555556,2
"33","NEC113F-3329","F","Reconyx","WTD_Fawn","Northeast","Summer",1103.16,0,2084.77196556523,9.59935319718599,65.5182794851128,152.411117066886,0.567493140697479,0.835,2
"34","NEC116F-1056","F","Moultrie","WTD_Fawn","Northeast","Summer",792.18,1,955.082155040579,6.64658510127689,119.954494548368,1966.71233706903,0.893480241298676,46.2405555555556,9
"35","NEC116F-1056","F","Reconyx","WTD_Fawn","Northeast","Summer",792.18,1,955.082155040579,6.64658510127689,119.954494548368,1966.71233706903,0.893480241298676,46.2780555555556,10
"36","NEC116F-641","F","Reconyx","WTD_Fawn","Northeast","Summer",1104.77,0,1504.52173048575,11.1445202204951,85.8235522446449,3250.68849125989,0.857667565345764,21.96,4
