"","X","cam","coug_id","sex","carcass","weight","wt_class","study_area","season","elevation","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","MAGP","EAGL","RAVE","VULT","COWS","BEAR","BOBC","COYO","WOLF","COUG"
"1",1,"MVC202F-2713","MVC202F","F","MD_Yearling",100,"large","Okanogan","Winter",739.86,18,242.310507138708,8.9549843789094,201.068283928474,0,4889.50623153205,0.0137741044163704,6,5,3,0,0,0,0,0,0,4
"2",2,"MVC202F-3539","MVC202F","F","MD_Adult",100,"large","Okanogan","Summer",694.42,26,648.565985702525,4.39558660854876,310.258353586913,2.54729745973396,176.852618463544,0.0348943993449211,0,0,0,0,0,0,0,0,0,2
"3",3,"MVC205F-1709","MVC205F","F","MD_Yearling",100,"large","Okanogan","Fall",1210.52,0,2911.42241714515,5.61953473515901,238.947808693194,0,2607.13735296014,0.927456378936768,0,0,41,0,0,0,0,0,0,53
"4",4,"MVC205F-2139","MVC205F","F","MD_Yearling",100,"large","Okanogan","Winter",1057.13,0,2408.51288672319,7.66069714368907,34.3213389220482,0,2368.42638997837,0.183654725551605,0,0,0,0,0,0,0,0,0,2
"5",5,"MVC205F-2305","MVC205F","F","MD_Yearling",100,"large","Okanogan","Winter",1285.21,0,2623.68321131949,11.9734266453638,87.3325762502659,0,4176.99712761407,0.171717166900635,0,0,0,0,0,0,0,0,0,14
"6",6,"MVC205F-729","MVC205F","F","MD_AgeUnk",100,"large","Okanogan","Spring",1299.13,0,1991.27769849577,6.23146341352313,19.6674996868887,0,10307.4978404613,0.624426066875458,0,0,10,0,0,0,0,0,0,13
"7",7,"MVC207F-646","MVC207F","F","MD_Fawn",20.6,"medium","Okanogan","Fall",1453.46,1,356.378775058313,4.61002569046501,384.122902095974,1.1588931588018,352.272865464636,0.909090936183929,0,0,0,0,0,0,0,0,0,7
"8",8,"MVC223F-106","MVC223F","F","MD_Yearling",100,"large","Okanogan","Winter",1007.49,0,3341.55661100679,5.20106116481872,532.405505048458,0,3453.77311419794,0.168044075369835,1,0,0,0,0,0,0,0,0,8
"9",9,"MVC227F-3529","MVC227F","F","MD_Adult",100,"large","Okanogan","Winter",1303.65,0,2787.99221326714,4.58761948581797,103.659098120571,0,3835.39933664436,0.482093662023544,0,1,0,0,0,0,0,0,0,12
"10",10,"MVC227F-4361","MVC227F","F","MD_Yearling",40.94,"large","Okanogan","Summer",1600.87,0,4126.76950664899,0,1296.89293259385,0,3778.46532333233,0.00918273627758026,0,0,0,0,0,0,0,0,0,2
"11",11,"MVC228F-2274","MVC228F","F","Other",100,"large","Okanogan","Winter",951.21,0,1541.57522000073,4.12659446514489,208.024441198385,0,4186.13203586599,0.0468319542706013,10,0,2,0,0,0,0,0,0,1
"12",12,"MVC230F-060-09-10C","MVC230F","F","MD_Yearling",100,"large","Okanogan","Winter",611.12,17,144.62687850879,2.24410048409822,144.436314114855,0,4004.33709528949,0,12,3,1,0,0,0,0,1,0,8
"13",13,"MVC230F-2423","MVC230F","F","MD_Fawn",14.6,"small","Okanogan","Summer",1534.1,0,5994.75364326931,3.89437406562043,36.9082706148559,0.693769554031276,512.30784364628,0.853076219558716,0,0,0,0,0,0,0,0,0,6
"14",14,"MVC233F-356-04-20C","MVC233F","F","MD_Adult",100,"large","Okanogan","Winter",585.37,33,176.392682425954,4.52226768825114,20.3246677685712,0,4997.53752758727,0.422405868768692,9,8,4,0,0,0,0,1,0,38
"15",15,"MVC234M-022-14-40C","MVC234M","M","WTD_Adult",100,"large","Okanogan","Winter",524.76,138,169.773491301304,11.8325063625328,231.134281808692,0,2550.37492366827,0.0339761264622212,11,2,0,0,0,0,0,0,0,1
"16",16,"MVC235M-041-05-30C","MVC235M","M","MD_Adult",100,"large","Okanogan","Winter",971.35,0,1300.1235245107,6.63328871456698,245.662031532876,0,5929.00226876874,0.471992641687393,91,89,41,0,0,0,0,2,0,2
"17",17,"MVC235M-055-15-20C","MVC235M","M","MD_AgeUnk",50,"large","Okanogan","Winter",934.75,0,1280.83823884688,10.4620711641843,90.4835621955322,0,4947.01233673702,0.320477515459061,1,0,0,0,0,0,0,0,0,1
"18",18,"MVC236F-034-03-20C","MVC236F","F","MD_Yearling",100,"large","Okanogan","Winter",1009.65,0,1297.86791981286,10.0813865320629,47.5565620599112,0,4677.18945840133,0.311294764280319,4,4,1,0,0,0,0,1,0,6
"19",19,"MVC236F-041-09-20C","MVC236F","F","MD_Yearling",100,"large","Okanogan","Winter",1070.45,0,1990.81262494912,8.42169993139907,323.549594249904,0,5716.1920347983,0.769513309001923,0,0,0,0,0,0,0,0,0,15
