"","cam","carcass","study_area","utm_z","utm_e","utm_n","long","lat","first_photo","last_photo","season","habitat","elevation","building_density","road_distance","road_class","trail_distance","Folder","total.time","nobs","building_distance"
"1","MVC202F-2713","MD_Yearling","Okanogan","10U",5379191,708590,-120.174456271747,48.531127331901,"2018-03-12","2018-04-21","Winter","Sagebrush",739.86,18,201.068283928474,"Unimproved Road",4889.50623153205,"Moultrie",2.31277777777778,2,242.310507138708
"2","MVC202F-2713","MD_Yearling","Okanogan","10U",5379191,708590,-120.174456271747,48.531127331901,"2018-03-12","2018-04-21","Winter","Sagebrush",739.86,18,201.068283928474,"Unimproved Road",4889.50623153205,"Reconyx",2.28083333333333,2,242.310507138708
"3","MVC202F-3539","MD_Adult","Okanogan","10U",5374210,711704,-120.134854980685,48.4853299630415,"2018-07-28","2018-09-19","Summer","Sagebrush",694.42,26,310.258353586913,"Light-Duty Road",176.852618463544,"Reconyx",0.005,1,648.565985702525
"4","MVC205F-1709","MD_Yearling","Okanogan","10U",5391223,706171,-120.201214934394,48.6400405950666,"2017-11-15","2017-12-17","Fall","OpenConifer",1210.52,0,238.947808693194,"Unimproved Road",2607.13735296014,"Moultrie",324.120833333333,53,2911.42241714515
"5","MVC205F-2139","MD_Yearling","Okanogan","10U",5376241,713244,-120.11300375359,48.5030580293894,"2018-01-21","2018-02-23","Winter","OpenConifer",1057.13,0,34.3213389220482,"Unimproved Road",2368.42638997837,"Reconyx",348.359722222222,2,2408.51288672319
"6","MVC205F-2305","MD_Yearling","Okanogan","10U",5374251,715759,-120.080028042377,48.4843198961351,"2018-02-13","2018-07-02","Winter","OpenConifer",1285.21,0,87.3325762502659,"Unimproved Road",4176.99712761407,"Moultrie",29.6686111111111,13,2623.68321131949
"7","MVC205F-2305","MD_Yearling","Okanogan","10U",5374251,715759,-120.080028042377,48.4843198961351,"2018-02-13","2018-07-02","Winter","OpenConifer",1285.21,0,87.3325762502659,"Unimproved Road",4176.99712761407,"Reconyx",29.6736111111111,13,2623.68321131949
"8","MVC205F-729","MD_AgeUnk","Okanogan","10U",5385232,700512,-120.280839286739,48.5880453370136,"2014-11-11","2014-11-24","Spring","NA",1299.13,0,19.6674996868887,"Unimproved Road",10307.4978404613,"Moultrie",31.2775,13,1991.27769849577
"9","MVC207F-646","MD_Fawn","Okanogan","10U",5389304,712736,-120.113195345752,48.6205999660237,"2017-09-19","2017-11-06","Fall","OpenConifer",1453.46,1,384.122902095974,"Unimproved Road",352.272865464636,"Moultrie",23.4791666666667,7,356.378775058313
"10","MVC223F-106","MD_Yearling","Okanogan","10U",5377777,713209,-120.112692372715,48.5168707947625,"2018-02-15","2018-07-01","Winter","OpenConifer",1007.49,0,532.405505048458,"Unimproved Road",3453.77311419794,"Moultrie",17.2316666666667,7,3341.55661100679
"11","MVC223F-106","MD_Yearling","Okanogan","10U",5377777,713209,-120.112692372715,48.5168707947625,"2018-02-15","2018-07-01","Winter","OpenConifer",1007.49,0,532.405505048458,"Unimproved Road",3453.77311419794,"Reconyx",22.4930555555556,6,3341.55661100679
"12","MVC227F-3529","MD_Adult","Okanogan","10U",5375412,715460,-120.083470458247,48.4948537252435,"2019-03-04","2019-06-08","Winter","OpenConifer",1303.65,0,103.659098120571,"Unimproved Road",3835.39933664436,"Reconyx",439.463611111111,12,2787.99221326714
"13","MVC227F-4361","MD_Yearling","Okanogan","10U",5372274,717446,-120.058256220739,48.4659762523223,"2019-07-20","2019-10-08","Summer","OpenConifer",1600.87,0,1296.89293259385,"Unimproved Road",3778.46532333233,"Moultrie",24.2219444444444,2,4126.76950664899
"14","MVC227F-4361","MD_Yearling","Okanogan","10U",5372274,717446,-120.058256220739,48.4659762523223,"2019-07-20","2019-10-08","Summer","OpenConifer",1600.87,0,1296.89293259385,"Unimproved Road",3778.46532333233,"Reconyx",0.0319444444444444,1,4126.76950664899
"15","MVC228F-2274","Other","Okanogan","10U",5378961,710154,-120.153413517471,48.5285390615349,"2019-01-27","2019-03-06","Winter","OpenConifer",951.21,0,208.024441198385,"Unimproved Road",4186.13203586599,"Reconyx",0,1,1541.57522000073
"16","MVC230F-060-09-10C","MD_Yearling","Okanogan","10U",5377241,701963,-120.26506105888,48.5157717407654,"2020-03-02","2020-05-13","Winter","Sagebrush",611.12,17,144.436314114855,"Secondary Highway",4004.33709528949,"Reconyx",170.468611111111,8,144.62687850879
"17","MVC230F-2423","MD_Fawn","Okanogan","10U",5395891,696089,-120.33570897021,48.6852322279103,"2019-08-21","2019-10-08","Summer","OpenConifer",1534.1,0,36.9082706148559,"Unimproved Road",512.30784364628,"Moultrie",53.8186111111111,3,5994.75364326931
"18","MVC230F-2423","MD_Fawn","Okanogan","10U",5395891,696089,-120.33570897021,48.6852322279103,"2019-08-21","2019-10-08","Summer","OpenConifer",1534.1,0,36.9082706148559,"Unimproved Road",512.30784364628,"Reconyx",53.8266666666667,3,5994.75364326931
"19","MVC233F-356-04-20C","MD_Adult","Okanogan","10U",5360875,707374,-120.199977342267,48.3669483175931,"2019-12-20","2020-01-14","Winter","DenseConifer",585.37,33,20.3246677685712,"Unimproved Road",4997.53752758727,"Reconyx",290.851666666667,38,176.392682425954
"20","MVC234M-022-14-40C","WTD_Adult","Okanogan","10U",5371051,709553,-120.165511398738,48.457665648102,"2020-01-27","2020-02-15","Winter","Riparian",524.76,138,231.134281808692,"Unimproved Road",2550.37492366827,"Reconyx",0.131666666666667,1,169.773491301304
"21","MVC235M-041-05-30C","MD_Adult","Okanogan","10U",5380503,709249,-120.164882161653,48.5426967388998,"2020-02-12","2020-03-23","Winter","OpenConifer",971.35,0,245.662031532876,"Unimproved Road",5929.00226876874,"Reconyx",39.7525,2,1300.1235245107
"22","MVC235M-055-15-20C","MD_AgeUnk","Okanogan","10U",5381583,709823,-120.156570956265,48.5522091127684,"2020-02-28","2020-05-20","Winter","Sagebrush",934.75,0,90.4835621955322,"Unimproved Road",4947.01233673702,"Reconyx",0.0688888888888889,1,1280.83823884688
"23","MVC236F-034-03-20C","MD_Yearling","Okanogan","10U",5381850,709881,-120.155651396452,48.5545887621369,"2020-02-04","2020-03-11","Winter","OpenConifer",1009.65,0,47.5565620599112,"Unimproved Road",4677.18945840133,"Reconyx",125.302222222222,6,1297.86791981286
"24","MVC236F-041-09-20C","MD_Yearling","Okanogan","10U",5380508,710043,-120.154135522715,48.5424763750428,"2020-02-11","2030-03-23","Winter","OpenConifer",1070.45,0,323.549594249904,"Unimproved Road",5716.1920347983,"Reconyx",54.7886111111111,15,1990.81262494912
"25","MVC236F-071-22-10C","MD_Yearling","Okanogan","10U",5386764,711936,-120.125333738075,48.5980498107058,"2020-03-14","2020-03-28","Winter","OpenConifer",1097.43,0,489.774658598711,"Unimproved Road",511.49202438892,"Reconyx",58.8866666666667,14,2637.89395971158
"26","MVC237M-060-16-10C","MD_AgeUnk","Okanogan","10U",5354663,717208,-120.070574587645,48.3078276716739,"2020-03-02","2020-05-10","Winter","Other",480.87,26,86.9313095686169,"Light-Duty Road",8628.63131978037,"Reconyx",242.004722222222,42,209.013079347422
"27","MVC206F-1504","WTD_Adult","Okanogan","11U",5351543,282644,-119.929813139545,48.2797438169167,"2018-09-08","2018-11-09","Summer","Riparian",935.11,0,48.2782665057676,"Unimproved Road",18096.5672796104,"Moultrie",0.0441666666666667,1,3695.74433306986
"28","MVC206F-1504","WTD_Adult","Okanogan","11U",5351543,282644,-119.929813139545,48.2797438169167,"2018-09-08","2018-11-09","Summer","Riparian",935.11,0,48.2782665057676,"Unimproved Road",18096.5672796104,"Reconyx",0.0525,1,3695.74433306986
"29","NEC107F-669","MD_Adult","Northeast","11U",5359844,444510,-117.749537830338,48.3893165852782,"2017-06-17","2017-07-19","Summer","OpenConifer",1128.66,0,412.516086478557,"Unimproved Road",6688.31045064767,"Moultrie",0,1,1887.141855819
"30","NEC110F-1469","WTD_Adult","Northeast","11U",5328777,432833,-117.902317524127,48.1087124290409,"2019-09-02","2019-11-14","Summer","OpenConifer",884.54,1,114.089646715205,"Unimproved Road",29840.0190449344,"Reconyx",24.585,5,920.509580579744
"31","NEC113F-1248","WTD_Adult","Northeast","11U",5378770,461118,-117.526975536218,48.5608187364997,"2018-08-11","2018-12-03","Summer","Riparian",1113.82,0,211.193118855936,"Light-Duty Road",331.879375343736,"Reconyx",75.1322222222222,16,2427.69750475505
"32","NEC113F-3329","WTD_Fawn","Northeast","11U",5381712,461299,-117.524796355142,48.5872958961708,"2019-07-23","2019-08-28","Summer","Riparian",1103.16,0,65.5182794851128,"Unimproved Road",152.411117066886,"Moultrie",0.820555555555556,2,2084.77196556523
"33","NEC113F-3329","WTD_Fawn","Northeast","11U",5381712,461299,-117.524796355142,48.5872958961708,"2019-07-23","2019-08-28","Summer","Riparian",1103.16,0,65.5182794851128,"Unimproved Road",152.411117066886,"Reconyx",0.835,2,2084.77196556523
"34","NEC116F-1056","WTD_Fawn","Northeast","11U",5345261,469901,-117.405537205225,48.2598444977149,"2018-08-10","2018-11-30","Summer","DenseConifer",792.18,1,119.954494548368,"Light-Duty Road",1966.71233706903,"Moultrie",46.2405555555556,9,955.082155040579
"35","NEC116F-1056","WTD_Fawn","Northeast","11U",5345261,469901,-117.405537205225,48.2598444977149,"2018-08-10","2018-11-30","Summer","DenseConifer",792.18,1,119.954494548368,"Light-Duty Road",1966.71233706903,"Reconyx",46.2780555555556,10,955.082155040579
"36","NEC116F-641","WTD_Fawn","Northeast","11U",5350435,454453,-117.614222481729,48.3054686185589,"2018-06-13","2018-08-10","Summer","DenseConifer",1104.77,0,85.8235522446449,"Light-Duty Road",3250.68849125989,"Reconyx",21.96,4,1504.52173048575
"37","NEC118M-1135","Moose_Calf","Northeast","11U",5358977,468879,-117.420319231209,48.383190281106,"2018-08-12","2018-12-03","Summer","OpenConifer",1071.89,0,144.476895708159,"Unimproved Road",974.370018695621,"Reconyx",198.631111111111,10,1969.29362773131
"38","NEC122M-2028","Elk_Calf","Northeast","11U",5355880,448968,-117.688844423405,48.3540331545524,"2019-01-23","2019-02-24","Winter","OpenConifer",812.45,1,278.168891126339,"Unimproved Road",10800.4248684205,"Moultrie",0.111666666666667,1,897.230012275099
"39","NEC122M-2028","Elk_Calf","Northeast","11U",5355880,448968,-117.688844423405,48.3540331545524,"2019-01-23","2019-02-24","Winter","OpenConifer",812.45,1,278.168891126339,"Unimproved Road",10800.4248684205,"Reconyx",0.115,2,897.230012275099
