"","cam","carcass","study_area","utm.z","utm.e","utm.n","first_photo","last_photo","season","habitat","trail.m","long","lat","elevation"
"1","MVC202F-2588","WTD_Adult","Okanogan","10U",5379087,708410,2018-02-20,2018-07-03,"Winter","Sagebrush",NA,-120.176943441183,48.530252637119,610.31
"2","MVC202F-2713","MD_Yearling","Okanogan","10U",5379191,708590,2018-03-12,2018-04-21,"Winter","Sagebrush",235,-120.174456271747,48.531127331901,739.86
"3","MVC202F-3281","WTD_Adult","Okanogan","10U",5376296,708155,2018-07-02,2018-10-24,"Summer","Riparian",250,-120.181785723013,48.5052587920275,558.84
"4","MVC202F-3539","MD_Adult","Okanogan","10U",5374210,711704,2018-07-28,2018-09-19,"Summer","Sagebrush",277,-120.134854980685,48.4853299630415,694.42
"5","MVC202F-3662","Other","Okanogan","10U",5380747,705964,NA,NA,"Summer","Riparian",687,-120.209214598508,48.5459761713069,839.82
"6","MVC202F-733","MD_Adult","Okanogan","10U",5376405,710488,2017-04-20,2017-05-03,"Spring","Riparian",NA,-120.150184704334,48.5054609165029,667.36
"7","MVC202F-960","MD_Adult","Okanogan","10U",5378414,709519,2014-11-12,2014-12-11,"Spring","Sagebrush",NA,-120.162278562608,48.5238363500345,827.65
"8","MVC205F-1019","MD_Fawn","Okanogan","10U",5393661,695460,2017-07-22,2017-08-14,"Summer","OpenConifer",NA,-120.345299550898,48.6653896793061,1562.8
"9","MVC205F-1709","MD_Yearling","Okanogan","10U",5391223,706171,2017-11-15,2017-12-17,"Fall","OpenConifer",255,-120.201214934394,48.6400405950666,1210.52
"10","MVC205F-2139","MD_Yearling","Okanogan","10U",5376241,713244,2018-01-21,2018-02-23,"Winter","OpenConifer",20,-120.11300375359,48.5030580293894,1057.13
"11","MVC205F-2305","MD_Yearling","Okanogan","10U",5374251,715759,2018-02-13,2018-07-02,"Winter","OpenConifer",92,-120.080028042377,48.4843198961351,1285.21
"12","MVC205F-729","MD_AgeUnk","Okanogan","10U",5385232,700512,2014-11-11,2014-11-24,"Spring",NA,NA,-120.280839286739,48.5880453370136,1299.13
"13","MVC205F-987","MD_Fawn","Okanogan","10U",5395138,705327,2017-07-06,2017-08-14,"Summer","OpenConifer",593,-120.210716494767,48.6754964870127,1374.27
"14","MVC207F-646","MD_Fawn","Okanogan","10U",5389304,712736,2017-09-19,2017-11-06,"Fall","OpenConifer",373,-120.113195345752,48.6205999660237,1453.46
"15","MVC223F-106","MD_Yearling","Okanogan","10U",5377777,713209,2018-02-15,2018-07-01,"Winter","OpenConifer",793,-120.112692372715,48.5168707947625,1007.49
"16","MVC223F-390","MD_Adult","Okanogan","10U",5405582,704526,2018-06-27,2018-08-24,"Summer","OpenConifer",88,-120.21640651583,48.7696032825896,1827.2
"17","MVC227F-3529","MD_Adult","Okanogan","10U",5375412,715460,2019-03-04,2019-06-08,"Winter","OpenConifer",65,-120.083470458247,48.4948537252435,1303.65
"18","MVC227F-4361","MD_Yearling","Okanogan","10U",5372274,717446,2019-07-20,2019-10-08,"Summer","OpenConifer",1800,-120.058256220739,48.4659762523223,1600.87
"19","MVC228F-2274","Other","Okanogan","10U",5378961,710154,2019-01-27,2019-03-06,"Winter","OpenConifer",107,-120.153413517471,48.5285390615349,951.21
"20","MVC230F-060-09-10C","MD_Yearling","Okanogan","10U",5377241,701963,2020-03-02,2020-05-13,"Winter","Sagebrush",137,-120.26506105888,48.5157717407654,611.12
"21","MVC230F-2423","MD_Fawn","Okanogan","10U",5395891,696089,2019-08-21,2019-10-08,"Summer","OpenConifer",40,-120.33570897021,48.6852322279103,1534.1
"22","MVC233F-356-04-20C","MD_Adult","Okanogan","10U",5360875,707374,2019-12-20,2020-01-14,"Winter","DenseConifer",20,-120.199977342267,48.3669483175931,585.37
"23","MVC234M-022-14-40C","WTD_Adult","Okanogan","10U",5371051,709553,2020-01-27,2020-02-15,"Winter","Riparian",258,-120.165511398738,48.457665648102,524.76
"24","MVC235M-030-08-10C","MD_Adult","Okanogan","10U",5385017,707760,2020-01-31,2020-03-03,"Winter","OpenConifer",550,-120.182777687887,48.5837517411272,926.74
"25","MVC235M-033-10-30C","Other","Okanogan","10U",5383343,708783,2020-02-04,2020-03-10,"Winter","OpenConifer",177,-120.169763817221,48.5683703132472,737.85
"26","MVC235M-041-05-30C","MD_Adult","Okanogan","10U",5380503,709249,2020-02-12,2020-03-23,"Winter","OpenConifer",235,-120.164882161653,48.5426967388998,971.35
"27","MVC235M-055-15-20C","MD_AgeUnk","Okanogan","10U",5381583,709823,2020-02-28,2020-05-20,"Winter","Sagebrush",210,-120.156570956265,48.5522091127684,934.75
"28","MVC236F-022-01-10C","MD_Yearling","Okanogan","10U",5373962,713731,2020-01-18,2020-02-15,"Winter","OpenConifer",50,-120.107585140349,48.4824159031653,852.55
"29","MVC236F-034-03-20C","MD_Yearling","Okanogan","10U",5381850,709881,2020-02-04,2020-03-11,"Winter","OpenConifer",67,-120.155651396452,48.5545887621369,1009.65
"30","MVC236F-041-09-20C","MD_Yearling","Okanogan","10U",5380508,710043,2020-02-11,2030-03-23,"Winter","OpenConifer",324,-120.154135522715,48.5424763750428,1070.45
"31","MVC236F-071-22-10C","MD_Yearling","Okanogan","10U",5386764,711936,2020-03-14,2020-03-28,"Winter","OpenConifer",511,-120.125333738075,48.5980498107058,1097.43
"32","MVC237M-060-16-10C","MD_AgeUnk","Okanogan","10U",5354663,717208,2020-03-02,2020-05-10,"Winter","Other",2,-120.070574587645,48.3078276716739,480.87
