"","cam","nobs"
"1","MVC202F-2588",0
"2","MVC202F-3281",0
"3","MVC202F-733",0
"4","MVC202F-960",0
"5","MVC205F-1019",0
"6","MVC205F-987",0
"7","MVC223F-390",0
"8","MVC235M-030-08-10C",0
"9","MVC235M-033-10-30C",0
"10","NEC103F-522",0
"11","NEC103F-626",0
"12","NEC103F-634",0
"13","NEC108M-2031",0
"14","NEC141M-351",0
"15","NEC144M-1321",0
"16","NEC144M-1408",0
"17","MVC202F-2713",4
"18","MVC202F-3539",2
"19","MVC205F-1709",53
"20","MVC205F-2139",2
"21","MVC205F-2305",14
"22","MVC205F-729",13
"23","MVC206F-1504",2
"24","MVC207F-646",7
"25","MVC223F-106",8
"26","MVC227F-3529",12
"27","MVC227F-4361",2
"28","MVC228F-2274",1
"29","MVC230F-060-09-10C",8
"30","MVC230F-2423",6
"31","MVC233F-356-04-20C",38
"32","MVC234M-022-14-40C",1
"33","MVC235M-041-05-30C",2
"34","MVC235M-055-15-20C",1
"35","MVC236F-034-03-20C",6
"36","MVC236F-041-09-20C",15
"37","MVC236F-071-22-10C",14
"38","MVC237M-060-16-10C",42
"39","NEC107F-669",1
"40","NEC110F-1469",5
"41","NEC113F-1248",16
"42","NEC113F-3329",2
"43","NEC116F-1056",19
"44","NEC116F-641",4
"45","NEC118M-1135",10
"46","NEC122M-2028",2
"47","NEC122M-769",1
"48","NEC140M-1752",10
"49","NEC140M-369",2
"50","NEC141M-1267",3
"51","NEC144M-1507",1
"52","NEC144M-342",161
"53","NEC145M-1257",5
