"","X","Cluster","duration.hr","building_density","building_distance","road_density","road_distance","trail_density","trail_distance","forest_density","season"
"1",1,"MVC202F-1217",40,16,0.251959730133457,53,0.20860125583388,0,5.22538632406631,0.067033976316452,"summer"
"2",2,"MVC202F-1337",52,79,0.160698256770105,65,0.0985498528494915,0,3.99112066118037,0.0633608847856522,"summer"
"3",3,"MVC202F-1341",8,100,0.240121783365386,78,0.0422592277334349,0,2.63355714831422,0.00550964195281267,"summer"
"4",4,"MVC202F-1412",11,1,0.857872490258674,3,0.0108955964849621,0,8.17921707800843,0.0716253444552422,"summer"
"5",5,"MVC202F-1422",40,80,0.103041232012731,24,0.0975372578491425,0,6.47414276777116,0.0101010100916028,"summer"
"6",6,"MVC202F-1567",47,139,0.0731251666094687,63,0.0569290055386332,0,1.94879454119689,0.0137741044163704,"summer"
"7",7,"MVC202F-1639",44,245,0.0733323800258902,39,0.0372413627617453,0,1.37722085188481,0.000918273639399558,"summer"
"8",8,"MVC202F-1760",12,39,0.302562802668133,14,0.294393188699952,0,7.24062666846583,0,"summer"
"9",9,"MVC202F-1901",163,0,2.75832209210412,8,0.502918323329132,0,3.61291211952205,0.123966939747333,"summer"
"10",10,"MVC202F-2146",104,35,0.039559786646208,53,0.0398679995491383,0,5.09520628240359,0.0330578498542309,"summer"
"11",11,"MVC202F-2185",96,85,0.139809505491486,67,0.250753841652355,0,3.50086359612256,0.00183654727879912,"summer"
"12",12,"MVC202F-2224",84,0,1.61013359398073,28,0.166527445933822,0,4.2262003063745,0.0679522529244423,"winter"
"13",13,"MVC202F-2256",99,72,0.163291715820165,66,0.0504011264292874,0,4.19022494608313,0.0697887986898422,"winter"
"14",14,"MVC202F-2331",135,84,0.333803682077327,64,0.214753186191009,0,3.06352338622396,0,"winter"
"15",15,"MVC202F-2382",124,58,0.0673648828002324,31,0.353309568852336,0,6.04582096815072,0.130394861102104,"winter"
"16",16,"MVC202F-2490",120,77,0.00987349648048616,33,0.164432596603065,0,4.87216958532313,0.0257116612046957,"winter"
"17",17,"MVC202F-2701",91,18,0.24676572249692,62,0.21101223780795,0,4.89565842841932,0.0137741044163704,"winter"
"18",18,"MVC202F-3281",103,109,0.341644820207325,63,0.177954373216318,0,2.71669769037753,0,"summer"
"19",19,"MVC202F-3514",16,19,0.350383570619792,25,0.387365296472399,0,2.49022816540971,0,"summer"
"20",20,"MVC202F-3539",52,26,0.658421795733451,17,0.304815452120329,5,0.187297626304538,0.0404040403664112,"summer"
"21",21,"MVC202F-3591",31,122,0.211665917894057,64,0.261447781543268,0,2.40557287510504,0,"summer"
"22",22,"MVC202F-3639",19,19,0.240166149140544,23,0.112113526615391,0,6.76349244028699,0.281910002231598,"summer"
"23",23,"MVC202F-3656",15,51,0.219872532241907,18,0.479873504109984,0,7.30725014315853,0,"summer"
"24",24,"MVC202F-3662",12,9,0.682666308026436,3,0.629610801048239,0,7.5080951053893,0.0101010100916028,"summer"
