"","Cluster","lat","long","duration.hr"
"1","MVC202F-1217",48.534126,-120.175287,40
"2","MVC202F-1337",48.521002,-120.179134,52
"3","MVC202F-1341",48.506758,-120.17773,8
"4","MVC202F-1412",48.548703,-120.219001,11
"5","MVC202F-1422",48.55004,-120.189238,40
"6","MVC202F-1567",48.498359,-120.176123,47
"7","MVC202F-1639",48.487494,-120.188451,44
"8","MVC202F-1760",48.545487,-120.203307,12
"9","MVC202F-1901",48.560909,-120.136685,163
"10","MVC202F-2146",48.532445,-120.177211,104
"11","MVC202F-2185",48.512986,-120.184869,96
"12","MVC202F-2224",48.529026,-120.15261,84
"13","MVC202F-2256",48.523001,-120.179202,99
"14","MVC202F-2331",48.50833,-120.183598,135
"15","MVC202F-2382",48.539167,-120.1865,124
"16","MVC202F-2490",48.526033,-120.189684,120
"17","MVC202F-2701",48.531213,-120.174333,91
"18","MVC202F-3281",48.505019,-120.18174,103
"19","MVC202F-3514",48.511747,-120.157409,16
"20","MVC202F-3539",48.485277,-120.134734,52
"21","MVC202F-3591",48.502049,-120.179873,31
"22","MVC202F-3639",48.557051,-120.204023,19
"23","MVC202F-3656",48.547435,-120.201396,15
"24","MVC202F-3662",48.545923,-120.209102,12
"25","MVC202F-415",48.512265,-120.143982,144
"26","MVC202F-733",48.505219,-120.150781,136
"27","MVC202F-788",48.525943,-120.170141,88
"28","MVC202F-800",48.545011,-120.163827,128
"29","MVC202F-944",48.510807,-120.143681,11
"30","MVC202F-956",48.521921,-120.160559,12
"31","MVC202F-960",48.52369,-120.162106,27
"32","MVC202F-985",48.568522,-120.170766,27
"33","MVC204F-308",48.444298,-119.974535,19
"34","MVC205F-1041",48.726386,-120.249208,44
"35","MVC205F-1080",48.665396,-120.345289,23
"36","MVC205F-1475",48.688562,-120.341609,95
"37","MVC205F-1506",48.679075,-120.289333,83
"38","MVC205F-1658",48.646851,-120.239151,304
"39","MVC205F-1773",48.639975,-120.201204,143
"40","MVC205F-2073",48.481845,-120.104436,212
"41","MVC205F-2086",48.485238,-120.099512,71
"42","MVC205F-2178",48.503044,-120.113067,75
"43","MVC205F-2305",48.484284,-120.080067,119
"44","MVC205F-3084",48.667982,-120.29337,24
"45","MVC205F-3123",48.687777,-120.235851,20
"46","MVC205F-3133",48.685677,-120.247989,15
"47","MVC205F-320",48.458617,-120.026458,20
"48","MVC205F-484",48.486146,-120.098589,116
"49","MVC205F-499",48.484539,-120.101096,27
"50","MVC205F-643",48.638802,-120.249522,104
"51","MVC205F-675",48.618104,-120.252249,116
"52","MVC205F-729",48.588173,-120.280983,67
"53","MVC205F-944",48.698081,-120.254594,23
"54","MVC205F-951",48.710682,-120.259055,8
"55","MVC205F-967",48.674127,-120.215989,19
"56","MVC205F-987",48.675505,-120.210702,11
"57","MVC206F-1467",48.199394,-119.925342,55
"58","MVC206F-1494",48.315988,-119.910614,19
"59","MVC206F-1504",48.279689,-119.930197,55
"60","MVC206F-253",48.159451,-120.03813,44
"61","MVC206F-1067",48.108261,-120.318715,163
"62","MVC206F-1637",48.116343,-120.134715,109
"63","MVC206F-862",48.086677,-120.27582,16
"64","MVC206F-988",48.172475,-120.298568,51
"65","MVC207F-1182",48.68057,-120.103526,67
"66","MVC207F-1209",48.672295,-120.10281,107
"67","MVC207F-1212",48.67517,-120.115177,15
"68","MVC207F-1308",48.660499,-120.087073,64
"69","MVC207F-1353",48.598862,-120.070932,64
"70","MVC207F-1395",48.620593,-120.113379,83
"71","MVC207F-1464",48.592868,-120.102388,115
"72","MVC207F-1553",48.575725,-120.146564,80
"73","MVC207F-400",48.590081,-120.144541,84
"74","MVC207F-513",48.629199,-120.134862,160
