"","X","cam","carcass","study_area","utm.z","utm.e","utm.n","first_photo","last_photo","season","habitat","trail.m","long","lat","elevation","building_id","building_distance","road_id","road_distance","road_status","road_class"
"1",1,"MVC202F-2588","WTD_Adult","Okanogan","10U",5379087,708410,"2018-02-20","2018-07-03","Winter","Sagebrush",NA,-120.176943441183,48.530252637119,610.31,71497,147.997829398466,6747,0.383290097576368,"Active","Unimproved Road"
"2",2,"MVC202F-2713","MD_Yearling","Okanogan","10U",5379191,708590,"2018-03-12","2018-04-21","Winter","Sagebrush",235,-120.174456271747,48.531127331901,739.86,21531,242.310507138708,6747,201.068283928474,"Active","Unimproved Road"
"3",3,"MVC202F-3281","WTD_Adult","Okanogan","10U",5376296,708155,"2018-07-02","2018-10-24","Summer","Riparian",250,-120.181785723013,48.5052587920275,558.84,67825,340.814083991828,56863,151.983349055015,"Active","Unimproved Road"
"4",4,"MVC202F-3539","MD_Adult","Okanogan","10U",5374210,711704,"2018-07-28","2018-09-19","Summer","Sagebrush",277,-120.134854980685,48.4853299630415,694.42,9093,648.565985702525,30093,310.258353586913,"Unknown","Light-Duty Road"
"5",5,"MVC202F-3662","Other","Okanogan","10U",5380747,705964,NA,NA,"Summer","Riparian",687,-120.209214598508,48.5459761713069,839.82,48836,692.639049748491,18039,620.257340934149,"Active","Unimproved Road"
"6",6,"MVC202F-733","MD_Adult","Okanogan","10U",5376405,710488,"2017-04-20","2017-05-03","Spring","Riparian",NA,-120.150184704334,48.5054609165029,667.36,89795,452.939140537333,29246,144.820735029828,"Active","Light-Duty Road"
"7",7,"MVC202F-960","MD_Adult","Okanogan","10U",5378414,709519,"2014-11-12","2014-12-11","Spring","Sagebrush",NA,-120.162278562608,48.5238363500345,827.65,56809,858.74199279472,58226,147.926295707405,"Active","Unimproved Road"
"8",8,"MVC205F-1019","MD_Fawn","Okanogan","10U",5393661,695460,"2017-07-22","2017-08-14","Summer","OpenConifer",NA,-120.345299550898,48.6653896793061,1562.8,44101,5672.14580243399,45379,120.093346297863,"Unknown","Unimproved Road"
"9",9,"MVC205F-1709","MD_Yearling","Okanogan","10U",5391223,706171,"2017-11-15","2017-12-17","Fall","OpenConifer",255,-120.201214934394,48.6400405950666,1210.52,60542,2911.42241714515,49940,238.947808693194,"Unknown","Unimproved Road"
"10",10,"MVC205F-2139","MD_Yearling","Okanogan","10U",5376241,713244,"2018-01-21","2018-02-23","Winter","OpenConifer",20,-120.11300375359,48.5030580293894,1057.13,14448,2408.51288672319,64839,34.3213389220482,"Unknown","Unimproved Road"
"11",11,"MVC205F-2305","MD_Yearling","Okanogan","10U",5374251,715759,"2018-02-13","2018-07-02","Winter","OpenConifer",92,-120.080028042377,48.4843198961351,1285.21,21461,2623.68321131949,60715,87.3325762502659,"Unknown","Unimproved Road"
"12",12,"MVC205F-729","MD_AgeUnk","Okanogan","10U",5385232,700512,"2014-11-11","2014-11-24","Spring",NA,NA,-120.280839286739,48.5880453370136,1299.13,7388,1991.27769849577,42234,19.6674996868887,"Unknown","Unimproved Road"
"13",13,"MVC205F-987","MD_Fawn","Okanogan","10U",5395138,705327,"2017-07-06","2017-08-14","Summer","OpenConifer",593,-120.210716494767,48.6754964870127,1374.27,14424,6138.27699687785,58329,613.00327783427,"Unknown","Unimproved Road"
"14",14,"MVC207F-646","MD_Fawn","Okanogan","10U",5389304,712736,"2017-09-19","2017-11-06","Fall","OpenConifer",373,-120.113195345752,48.6205999660237,1453.46,64086,356.378775058313,35262,384.122902095974,"Unknown","Unimproved Road"
"15",15,"MVC223F-106","MD_Yearling","Okanogan","10U",5377777,713209,"2018-02-15","2018-07-01","Winter","OpenConifer",793,-120.112692372715,48.5168707947625,1007.49,89795,3341.55661100679,3047,532.405505048458,"Unknown","Unimproved Road"
"16",16,"MVC223F-390","MD_Adult","Okanogan","10U",5405582,704526,"2018-06-27","2018-08-24","Summer","OpenConifer",88,-120.21640651583,48.7696032825896,1827.2,7170,8440.21158691025,60642,3118.63460089931,"Unknown","Unimproved Road"
